Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,AverageHoursPerDay,IrregularDays
28,0,7,3,32,1,96370,1.0,13,0,5.0,6,5,0,2,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,2,3,4.0,4.0,3.0,6.709665977961433,19
49,0,1,1,33,2,35910,9.0,13,0,22.0,2,3,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,3,3,3.0,1.0,3.0,10.518214624881292,27
36,0,5,3,34,3,54050,4.0,14,0,10.0,2,8,7,7,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,3,3,3.0,2.0,3.0,6.182887517146776,18
31,0,9,4,35,1,46840,1.0,16,1,2.0,4,2,2,2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,2.0,2.0,6.586388888888888,21
26,1,8,3,36,2,157870,1.0,12,2,8.0,5,8,7,4,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,3,3,4.0,4.0,3.0,10.272241379310346,29
37,0,9,1,37,1,15140,1.0,14,0,4.0,3,4,1,2,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,3,2.0,4.0,2.0,9.982733011937558,19
42,0,2,2,38,3,29560,5.0,13,0,23.0,2,20,4,8,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,4.0,5.979567632850242,31
18,1,1,4,39,1,23350,1.0,14,2,0.0,3,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,2,3,3.0,3.0,3.0,6.775967939304944,34
35,0,20,2,40,1,51540,0.0,19,0,12.0,2,11,6,9,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,2,3,3.0,2.0,2.0,7.690160390516039,22
51,0,2,3,42,2,56750,5.0,13,0,13.0,2,4,1,2,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2,3,4.0,2.0,3.0,7.594769503546099,26
41,0,29,1,43,1,23790,1.0,12,0,22.0,6,22,0,4,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,4.0,2.0,3.0,6.95264233241506,19
18,0,7,3,44,1,38120,1.0,15,0,0.0,3,0,0,0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,3.0,3.0,7.008878472222222,21
28,0,9,3,45,1,46480,0.0,23,2,9.0,2,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,2,4,2.0,1.0,3.0,7.201573315118397,17
31,0,8,1,46,1,29360,4.0,12,1,10.0,2,8,7,7,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,3,3,2.0,4.0,2.0,7.1728749999999994,21
39,0,5,4,47,2,21050,0.0,20,0,19.0,3,18,3,7,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,4,3.0,4.0,2.0,7.636801418439717,26
36,0,5,4,48,1,85780,7.0,21,0,11.0,4,9,0,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,2.0,2.0,3.0,7.83278129395218,24
32,0,2,3,49,2,27060,1.0,21,1,13.0,4,13,4,8,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,4.0,3.0,2.0,6.974765051395007,34
38,0,5,2,50,3,63840,3.0,19,2,19.0,4,10,0,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,3.0,6.906424220272905,33
58,0,2,3,51,2,39680,2.0,13,2,12.0,3,5,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,3,4.0,3.0,3.0,10.895463728191,19
31,0,20,1,52,3,99070,0.0,13,1,6.0,3,5,0,3,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,2,3,3.0,4.0,3.0,9.125665729020158,24
31,0,7,4,53,2,132250,3.0,21,1,9.0,2,2,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,1.0,1.0,3.0,6.831459786145978,22
45,0,3,1,54,1,35400,1.0,13,0,24.0,6,24,9,11,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3,1.0,1.0,3.0,7.3160499058380415,25
31,0,16,4,55,2,28040,0.0,19,2,3.0,0,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,3.0,4.0,1.0,8.610798041894354,17
33,0,9,3,56,4,193920,6.0,12,1,12.0,3,10,8,8,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,4.0,2.0,3.0,6.784845288326301,24
39,0,1,4,57,1,196650,1.0,22,1,21.0,6,21,11,10,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,3.0,1.0,3.0,10.986099773242628,16
43,0,7,4,58,4,24390,0.0,15,0,9.0,2,8,1,7,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,3.0,4.0,3.0,7.68658467939305,34
49,0,1,3,59,3,73140,7.0,22,0,25.0,2,7,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,3,4,3.0,3.0,3.0,9.948856881572931,18
52,1,7,1,60,2,47740,2.0,18,1,11.0,2,8,7,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,2.0,2.0,7.9055276615527665,22
27,0,15,4,61,3,39020,1.0,22,0,4.0,2,4,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,3,4,3.0,2.0,2.0,10.672414617486337,17
32,0,1,3,62,3,26620,1.0,11,1,13.0,6,13,11,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,4,3,3.0,2.0,3.0,10.496171548117156,22
27,0,13,2,63,4,28560,1.0,12,2,5.0,5,5,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,4,3,4.0,3.0,3.0,10.069261664261665,30
31,0,24,3,64,2,10810,4.0,11,3,13.0,4,7,1,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,3,4.0,4.0,3.0,6.607014174668495,18
32,0,7,3,65,2,24720,7.0,13,0,10.0,2,7,0,7,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,3,3,1.0,4.0,2.0,7.497914908579466,24
28,1,9,4,66,1,56730,5.0,14,1,5.0,4,3,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,1.0,4.0,2.0,10.727235717498877,14
30,0,13,3,67,4,41970,1.0,13,0,11.0,3,10,1,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3,3,4.0,4.0,3.0,6.184816810344828,29
31,0,2,1,68,1,97130,1.0,17,0,10.0,5,10,8,9,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,3,3.0,3.0,3.0,6.609300048947627,34
39,0,19,4,69,1,20620,1.0,13,0,21.0,4,21,13,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,4.0,3.0,6.07624634502924,33
39,1,1,1,70,1,42840,4.0,17,1,12.0,0,1,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,4.0,3.0,2.0,9.971745709123757,15
33,0,4,2,71,4,47880,3.0,11,1,9.0,0,7,0,1,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,2.0,4.0,2.0,7.42145202020202,19
47,0,4,3,72,2,59060,4.0,23,0,21.0,4,3,1,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4.0,3.0,3.0,6.493810013717422,18
43,0,14,3,73,5,38860,1.0,17,2,9.0,2,9,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,3,3.0,3.0,4.0,6.299470449172577,26
27,0,2,3,74,1,168230,0.0,17,0,6.0,3,5,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,3.0,9.316973304473304,30
54,0,1,4,75,2,29330,3.0,12,2,20.0,2,4,0,3,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,3.0,2.0,6.097862787356322,29
43,0,7,2,76,2,65000,8.0,23,0,10.0,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,4,3.0,1.0,2.0,7.217327264239029,23
45,0,3,1,77,1,171740,9.0,14,1,12.0,6,10,9,8,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,3,4.0,4.0,3.0,7.100070018365472,19
40,0,2,4,78,4,50330,2.0,14,2,6.0,6,4,0,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,3,3,2.0,4.0,2.0,9.914107744107746,30
29,1,29,3,79,1,23070,1.0,13,1,7.0,0,7,0,7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,2.0,1.0,2.0,10.477788647342997,31
29,0,8,3,80,3,25870,0.0,22,2,4.0,3,3,2,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,3,4,2.0,4.0,3.0,6.906938633193863,22
30,0,10,3,81,2,55070,1.0,12,2,10.0,2,10,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,3.0,3.0,7.58909243295019,29
27,0,11,2,82,1,43930,1.0,18,1,8.0,2,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,2,3,2.0,2.0,3.0,6.079724499089253,17
37,0,1,4,83,2,133480,7.0,14,0,8.0,4,6,0,4,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,3,4.0,4.0,2.0,6.001112288135593,25
38,0,28,4,84,1,65830,0.0,12,0,12.0,1,11,2,9,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3,3,3.0,4.0,3.0,8.983123278236915,19
29,0,3,4,86,3,39780,1.0,11,0,7.0,0,7,1,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,2.0,3.0,8.387526183970857,17
35,0,16,2,87,3,25440,0.0,13,1,17.0,3,16,0,13,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,4,3,3.0,2.0,3.0,7.9120386266094425,28
23,0,20,4,88,1,53990,1.0,23,0,4.0,2,4,0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,4,3.0,4.0,2.0,7.105291842475386,24
41,0,9,2,89,1,54870,6.0,19,2,8.0,0,5,1,2,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,4.0,2.0,3.0,9.688633193863318,22
47,0,1,3,90,2,68340,3.0,16,1,5.0,2,0,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,4,3,2.0,3.0,3.0,7.770347512784752,22
42,0,3,4,91,1,10910,2.0,22,0,16.0,0,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,1,4,1.0,4.0,3.0,6.284280356305673,24
29,0,22,4,92,2,57360,1.0,22,0,4.0,1,4,0,2,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,2,4,4.0,3.0,2.0,6.306108726752504,28
42,0,7,4,93,3,22260,0.0,12,1,4.0,3,3,1,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,3.0,3.0,3.0,8.831585038986356,33
32,0,2,3,94,2,57470,1.0,13,0,8.0,0,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,3,3,3.0,2.0,3.0,7.722377344877344,30
48,0,13,4,95,4,98540,3.0,16,1,15.0,2,0,0,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,1.0,3.0,1.0,7.317479732951836,28
37,0,8,5,96,2,54670,4.0,12,0,13.0,2,7,6,7,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,3,3,3.0,1.0,3.0,10.798262483130904,14
30,0,25,4,97,1,53800,7.0,21,1,4.0,0,2,2,2,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,3,4,4.0,3.0,4.0,10.40136394557823,16
26,0,28,3,98,5,51510,1.0,15,3,8.0,3,8,7,7,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,3.0,3.0,3.0,5.994326703246457,18
42,0,2,2,99,1,21330,3.0,13,2,14.0,2,1,0,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,1.0,4.0,3.0,6.113110181311018,22
21,1,9,3,100,4,178750,1.0,12,0,3.0,5,3,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,2,3,1.0,2.0,3.0,8.133578096539162,17
36,0,28,3,101,2,24320,4.0,22,0,7.0,4,1,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,1,4,4.0,4.0,3.0,7.306164990421457,29
36,0,6,3,102,2,47710,4.0,13,1,16.0,2,13,1,12,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,1.0,4.0,3.0,7.105030345471522,23
57,0,21,4,103,5,191610,2.0,18,0,15.0,2,3,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1,3,4.0,3.0,3.0,6.327729314420803,26
40,0,8,3,104,2,50870,3.0,14,1,10.0,3,7,1,7,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,3,3,4.0,3.0,3.0,8.1285121602289,28
21,0,1,5,105,2,28630,1.0,14,0,3.0,2,3,2,2,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,3,1.0,4.0,2.0,7.98643255701116,32
33,1,28,2,106,5,55610,1.0,21,1,1.0,3,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,4,4.0,3.0,3.0,10.509096921596921,30
37,0,5,3,107,4,21440,6.0,19,0,17.0,3,5,0,3,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,4,3,3.0,1.0,3.0,7.9932840307840305,30
46,0,2,4,108,2,30650,2.0,11,0,7.0,3,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,3.0,3.0,4.0,6.103653752436647,33
41,1,16,1,109,1,28100,1.0,11,0,8.0,3,8,7,7,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,4,3,1.0,2.0,3.0,7.587908917501192,28
50,0,9,3,110,3,98880,6.0,15,0,20.0,2,4,1,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,4.0,4.0,3.0,6.890321256038647,31
40,1,8,3,111,1,86280,2.0,20,0,8.0,2,6,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,3.0,3.0,3.0,9.295999525166192,27
21,1,10,2,113,1,53730,1.0,12,1,1.0,2,1,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,3.0,2.0,3.0,5.995219806763284,31
29,0,1,3,114,2,66670,9.0,12,1,6.0,6,3,1,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,4,3,4.0,4.0,3.0,7.788609977324264,16
35,0,29,3,115,3,50030,9.0,15,0,10.0,2,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,3,3.0,2.0,3.0,7.71770715630885,25
28,0,2,2,117,3,28580,1.0,12,0,7.0,2,7,0,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,2,3,2.0,4.0,3.0,7.120614224137931,29
49,0,2,3,118,2,52040,8.0,14,1,26.0,3,5,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,3,3,2.0,3.0,3.0,7.825193287037036,21
51,0,1,2,119,1,41050,4.0,22,1,18.0,2,7,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,3.0,4.0,2.0,7.619401803118908,33
36,0,15,2,120,1,96790,4.0,12,0,6.0,1,2,2,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,3,4.0,3.0,3.0,6.002463200379866,27
34,1,7,3,121,1,56170,8.0,25,1,9.0,3,5,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,4,1.0,4.0,2.0,9.11312647754137,26
55,0,26,3,122,1,104480,2.0,13,0,30.0,3,5,1,2,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,3.0,4.0,3.0,8.684139595103577,25
24,0,1,3,123,5,28970,1.0,18,3,5.0,4,5,0,3,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,4.0,3.0,4.0,9.993131642512077,31
30,0,3,3,124,2,59680,1.0,13,0,1.0,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,3,3.0,2.0,3.0,6.900539923039923,30
22,0,16,5,126,1,29910,1.0,19,2,2.0,3,2,1,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,3.0,6.2862301587301594,30
36,0,1,3,127,5,196360,1.0,12,1,10.0,3,10,9,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,2.0,3.0,3.0,6.3661511299435025,25
30,1,3,2,128,3,11290,9.0,19,0,3.0,2,1,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,2,3,3.0,4.0,3.0,8.19166087962963,21
37,0,10,1,129,1,133410,1.0,14,1,18.0,3,18,12,17,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,1.0,2.0,6.4520891203703705,21
40,0,6,2,130,3,43320,7.0,14,2,8.0,3,5,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,2.0,3.0,6.682986714975844,31
42,0,2,3,131,4,110310,3.0,12,1,8.0,2,5,1,2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2,3,2.0,1.0,3.0,7.4826477541371155,26
37,0,9,1,132,3,44400,2.0,11,1,18.0,3,1,0,1,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,2,3,3.0,2.0,2.0,9.920131519274378,16
43,0,10,2,133,1,46170,1.0,11,0,25.0,2,25,3,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3,1.0,2.0,3.0,7.415638297872341,26
40,0,6,2,134,1,26470,6.0,13,0,20.0,2,1,0,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,2.0,3.0,3.0,7.4953384687208215,23
54,0,9,3,135,2,63230,4.0,23,1,24.0,2,4,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,4,1.0,1.0,2.0,5.998969652471855,34
34,0,28,3,136,1,56770,9.0,20,1,6.0,3,3,1,2,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,3.0,3.0,3.0,6.85954534662868,27
31,0,10,4,137,3,21870,1.0,15,1,13.0,2,13,3,12,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,2.0,1.0,1.0,6.131909722222222,29
