Age,Attrition,DistanceFromHome,Education,EmployeeID,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
28,0,7,3,32,1,96370,1.0,13,0,5.0,6,5,0,2,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,2,3,4.0,4.0,3.0
49,0,1,1,33,2,35910,9.0,13,0,22.0,2,3,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,3,3,3.0,1.0,3.0
36,0,5,3,34,3,54050,4.0,14,0,10.0,2,8,7,7,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,3,3,3.0,2.0,3.0
31,0,9,4,35,1,46840,1.0,16,1,2.0,4,2,2,2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,2.0,2.0
26,1,8,3,36,2,157870,1.0,12,2,8.0,5,8,7,4,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,3,3,4.0,4.0,3.0
37,0,9,1,37,1,15140,1.0,14,0,4.0,3,4,1,2,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,3,2.0,4.0,2.0
42,0,2,2,38,3,29560,5.0,13,0,23.0,2,20,4,8,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,4.0
18,1,1,4,39,1,23350,1.0,14,2,0.0,3,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,2,3,3.0,3.0,3.0
35,0,20,2,40,1,51540,0.0,19,0,12.0,2,11,6,9,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,2,3,3.0,2.0,2.0
36,0,8,3,41,3,69620,4.0,12,2,4.0,2,1,0,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,2,3,3.0,2.728246013667426,3.0
51,0,2,3,42,2,56750,5.0,13,0,13.0,2,4,1,2,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,2,3,4.0,2.0,3.0
41,0,29,1,43,1,23790,1.0,12,0,22.0,6,22,0,4,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,4.0,2.0,3.0
18,0,7,3,44,1,38120,1.0,15,0,0.0,3,0,0,0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,3.0,3.0
28,0,9,3,45,1,46480,0.0,23,2,9.0,2,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,2,4,2.0,1.0,3.0
31,0,8,1,46,1,29360,4.0,12,1,10.0,2,8,7,7,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,3,3,2.0,4.0,2.0
39,0,5,4,47,2,21050,0.0,20,0,19.0,3,18,3,7,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,4,3.0,4.0,2.0
36,0,5,4,48,1,85780,7.0,21,0,11.0,4,9,0,8,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,2.0,2.0,3.0
32,0,2,3,49,2,27060,1.0,21,1,13.0,4,13,4,8,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,4.0,3.0,2.0
38,0,5,2,50,3,63840,3.0,19,2,19.0,4,10,0,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,3.0
58,0,2,3,51,2,39680,2.0,13,2,12.0,3,5,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,3,4.0,3.0,3.0
31,0,20,1,52,3,99070,0.0,13,1,6.0,3,5,0,3,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,2,3,3.0,4.0,3.0
31,0,7,4,53,2,132250,3.0,21,1,9.0,2,2,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,1.0,1.0,3.0
45,0,3,1,54,1,35400,1.0,13,0,24.0,6,24,9,11,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3,1.0,1.0,3.0
31,0,16,4,55,2,28040,0.0,19,2,3.0,0,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,3.0,4.0,1.0
33,0,9,3,56,4,193920,6.0,12,1,12.0,3,10,8,8,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,4.0,2.0,3.0
39,0,1,4,57,1,196650,1.0,22,1,21.0,6,21,11,10,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,3.0,1.0,3.0
43,0,7,4,58,4,24390,0.0,15,0,9.0,2,8,1,7,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,3.0,4.0,3.0
49,0,1,3,59,3,73140,7.0,22,0,25.0,2,7,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,3,4,3.0,3.0,3.0
52,1,7,1,60,2,47740,2.0,18,1,11.0,2,8,7,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,2.0,2.0
27,0,15,4,61,3,39020,1.0,22,0,4.0,2,4,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,3,4,3.0,2.0,2.0
32,0,1,3,62,3,26620,1.0,11,1,13.0,6,13,11,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,4,3,3.0,2.0,3.0
27,0,13,2,63,4,28560,1.0,12,2,5.0,5,5,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,4,3,4.0,3.0,3.0
31,0,24,3,64,2,10810,4.0,11,3,13.0,4,7,1,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,4,3,4.0,4.0,3.0
32,0,7,3,65,2,24720,7.0,13,0,10.0,2,7,0,7,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,3,3,1.0,4.0,2.0
28,1,9,4,66,1,56730,5.0,14,1,5.0,4,3,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,1.0,4.0,2.0
30,0,13,3,67,4,41970,1.0,13,0,11.0,3,10,1,9,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3,3,4.0,4.0,3.0
31,0,2,1,68,1,97130,1.0,17,0,10.0,5,10,8,9,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2,3,3.0,3.0,3.0
39,0,19,4,69,1,20620,1.0,13,0,21.0,4,21,13,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,3.0,4.0,3.0
39,1,1,1,70,1,42840,4.0,17,1,12.0,0,1,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,4.0,3.0,2.0
33,0,4,2,71,4,47880,3.0,11,1,9.0,0,7,0,1,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,2.0,4.0,2.0
47,0,4,3,72,2,59060,4.0,23,0,21.0,4,3,1,1,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4,4,4.0,3.0,3.0
43,0,14,3,73,5,38860,1.0,17,2,9.0,2,9,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,3,3.0,3.0,4.0
27,0,2,3,74,1,168230,0.0,17,0,6.0,3,5,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,3,3,3.0,2.0,3.0
54,0,1,4,75,2,29330,3.0,12,2,20.0,2,4,0,3,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,3,3,4.0,3.0,2.0
43,0,7,2,76,2,65000,8.0,23,0,10.0,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,4,3.0,1.0,2.0
45,0,3,1,77,1,171740,9.0,14,1,12.0,6,10,9,8,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,3,4.0,4.0,3.0
40,0,2,4,78,4,50330,2.0,14,2,6.0,6,4,0,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,3,3,2.0,4.0,2.0
29,1,29,3,79,1,23070,1.0,13,1,7.0,0,7,0,7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,2.0,1.0,2.0
29,0,8,3,80,3,25870,0.0,22,2,4.0,3,3,2,2,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,3,4,2.0,4.0,3.0
30,0,10,3,81,2,55070,1.0,12,2,10.0,2,10,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,3.0,3.0
27,0,11,2,82,1,43930,1.0,18,1,8.0,2,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,2,3,2.0,2.0,3.0
37,0,1,4,83,2,133480,7.0,14,0,8.0,4,6,0,4,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3,3,4.0,4.0,2.0
38,0,28,4,84,1,65830,0.0,12,0,12.0,1,11,2,9,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3,3,3.0,4.0,3.0
31,0,6,3,85,3,81030,1.0,15,1,11.0,5,11,4,10,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,3,3,3.0,4.0,2.7614364135407135
29,0,3,4,86,3,39780,1.0,11,0,7.0,0,7,1,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,2.0,3.0
35,0,16,2,87,3,25440,0.0,13,1,17.0,3,16,0,13,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,4,3,3.0,2.0,3.0
23,0,20,4,88,1,53990,1.0,23,0,4.0,2,4,0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,2,4,3.0,4.0,2.0
41,0,9,2,89,1,54870,6.0,19,2,8.0,0,5,1,2,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,4.0,2.0,3.0
47,0,1,3,90,2,68340,3.0,16,1,5.0,2,0,0,0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,4,3,2.0,3.0,3.0
42,0,3,4,91,1,10910,2.0,22,0,16.0,0,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,1,4,1.0,4.0,3.0
29,0,22,4,92,2,57360,1.0,22,0,4.0,1,4,0,2,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,2,4,4.0,3.0,2.0
42,0,7,4,93,3,22260,0.0,12,1,4.0,3,3,1,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,3.0,3.0,3.0
32,0,2,3,94,2,57470,1.0,13,0,8.0,0,8,0,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,3,3,3.0,2.0,3.0
48,0,13,4,95,4,98540,3.0,16,1,15.0,2,0,0,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,1.0,3.0,1.0
37,0,8,5,96,2,54670,4.0,12,0,13.0,2,7,6,7,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,3,3,3.0,1.0,3.0
30,0,25,4,97,1,53800,7.0,21,1,4.0,0,2,2,2,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,3,4,4.0,3.0,4.0
26,0,28,3,98,5,51510,1.0,15,3,8.0,3,8,7,7,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,3.0,3.0,3.0
42,0,2,2,99,1,21330,3.0,13,2,14.0,2,1,0,0,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,1.0,4.0,3.0
21,1,9,3,100,4,178750,1.0,12,0,3.0,5,3,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,2,3,1.0,2.0,3.0
36,0,28,3,101,2,24320,4.0,22,0,7.0,4,1,0,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,1,4,4.0,4.0,3.0
36,0,6,3,102,2,47710,4.0,13,1,16.0,2,13,1,12,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3,3,1.0,4.0,3.0
57,0,21,4,103,5,191610,2.0,18,0,15.0,2,3,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1,3,4.0,3.0,3.0
40,0,8,3,104,2,50870,3.0,14,1,10.0,3,7,1,7,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,3,3,4.0,3.0,3.0
21,0,1,5,105,2,28630,1.0,14,0,3.0,2,3,2,2,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,3,1.0,4.0,2.0
33,1,28,2,106,5,55610,1.0,21,1,1.0,3,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,4,4.0,3.0,3.0
37,0,5,3,107,4,21440,6.0,19,0,17.0,3,5,0,3,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,4,3,3.0,1.0,3.0
46,0,2,4,108,2,30650,2.0,11,0,7.0,3,1,0,0,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3,3,3.0,3.0,4.0
41,1,16,1,109,1,28100,1.0,11,0,8.0,3,8,7,7,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,4,3,1.0,2.0,3.0
50,0,9,3,110,3,98880,6.0,15,0,20.0,2,4,1,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,3,3,4.0,4.0,3.0
40,1,8,3,111,1,86280,2.0,20,0,8.0,2,6,1,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,4,3.0,3.0,3.0
31,0,1,3,112,4,28670,0.0,24,0,3.0,5,2,2,2,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,3,4,2.7236031927023947,2.0,3.0
21,1,10,2,113,1,53730,1.0,12,1,1.0,2,1,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,3.0,2.0,3.0
29,0,1,3,114,2,66670,9.0,12,1,6.0,6,3,1,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,4,3,4.0,4.0,3.0
35,0,29,3,115,3,50030,9.0,15,0,10.0,2,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,3,3,3.0,2.0,3.0
27,0,2,3,116,1,23670,2.6948303347756775,12,1,5.0,2,5,0,4,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,2.0,3.0
28,0,2,2,117,3,28580,1.0,12,0,7.0,2,7,0,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,2,3,2.0,4.0,3.0
49,0,2,3,118,2,52040,8.0,14,1,26.0,3,5,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,3,3,2.0,3.0,3.0
51,0,1,2,119,1,41050,4.0,22,1,18.0,2,7,0,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,4,3.0,4.0,2.0
36,0,15,2,120,1,96790,4.0,12,0,6.0,1,2,2,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,3,3,4.0,3.0,3.0
34,1,7,3,121,1,56170,8.0,25,1,9.0,3,5,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,3,4,1.0,4.0,2.0
55,0,26,3,122,1,104480,2.0,13,0,30.0,3,5,1,2,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,3,3,3.0,4.0,3.0
24,0,1,3,123,5,28970,1.0,18,3,5.0,4,5,0,3,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,3,4.0,3.0,4.0
30,0,3,3,124,2,59680,1.0,13,0,1.0,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,3,3.0,2.0,3.0
26,1,14,3,125,2,75100,0.0,18,3,7.0,3,6,0,4,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,3,3,3.0,2.728246013667426,3.0
22,0,16,5,126,1,29910,1.0,19,2,2.0,3,2,1,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,2,3,1.0,2.0,3.0
36,0,1,3,127,5,196360,1.0,12,1,10.0,3,10,9,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,3,3,2.0,3.0,3.0
30,1,3,2,128,3,11290,9.0,19,0,3.0,2,1,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,2,3,3.0,4.0,3.0
37,0,10,1,129,1,133410,1.0,14,1,18.0,3,18,12,17,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,3,3,4.0,1.0,2.0
40,0,6,2,130,3,43320,7.0,14,2,8.0,3,5,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2,3,4.0,2.0,3.0
42,0,2,3,131,4,110310,3.0,12,1,8.0,2,5,1,2,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2,3,2.0,1.0,3.0
37,0,9,1,132,3,44400,2.0,11,1,18.0,3,1,0,1,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,2,3,3.0,2.0,2.0
43,0,10,2,133,1,46170,1.0,11,0,25.0,2,25,3,9,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,3,1.0,2.0,3.0
40,0,6,2,134,1,26470,6.0,13,0,20.0,2,1,0,0,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,2.0,3.0,3.0
54,0,9,3,135,2,63230,4.0,23,1,24.0,2,4,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,4,1.0,1.0,2.0
34,0,28,3,136,1,56770,9.0,20,1,6.0,3,3,1,2,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,3,4,3.0,3.0,3.0
31,0,10,4,137,3,21870,1.0,15,1,13.0,2,13,3,12,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,2,3,2.0,1.0,1.0
43,0,14,3,138,1,37480,7.0,14,2,11.279936378095888,3,3,1,2,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,2,3,4.0,4.0,3.0
43,0,27,4,139,2,39770,4.0,18,1,8.0,3,5,0,2,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3,3,3.0,3.0,3.0
25,0,7,2,140,1,86330,1.0,19,1,5.0,2,5,1,3,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,4,3,2.0,4.0,3.0
37,0,1,3,141,3,20080,3.0,22,0,15.0,5,13,10,7,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,2,4,2.0,3.0,3.0
31,0,24,1,142,3,44400,1.0,13,1,4.0,2,4,3,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,3,3,4.0,1.0,3.0
39,0,26,4,143,1,30670,1.0,20,1,21.0,5,21,1,6,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1,4,2.0,3.0,3.0
56,0,20,4,144,3,53210,9.0,14,0,36.0,1,7,7,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,3,3.0,1.0,2.0
